tag,assoc,work_kb,width,miss_rate,numCycles,cpi
FA,512,8,8,0.000013,768726222,2.690516
A4,4,8,8,0.000013,768727876,2.690522
FA,512,8,16,0.000013,771010920,2.690351
A4,4,8,16,0.000013,771012462,2.690357
FA,512,16,8,0.000014,768743184,2.690570
A4,4,16,8,0.000021,768808340,2.690798
FA,512,16,16,0.000014,771027640,2.690405
A4,4,16,16,0.000023,771099916,2.690657
FA,512,24,8,0.000040,769121236,2.691889
A4,4,24,8,0.000054,769250436,2.692341
FA,512,24,16,0.000040,771380402,2.691631
A4,4,24,16,0.000058,771596596,2.692385
FA,512,32,8,0.000051,769397040,2.692849
A4,4,32,8,0.000053,769317462,2.692570
FA,512,32,16,0.000051,771644224,2.692547
A4,4,32,16,0.000054,771595760,2.692377
FA,512,48,8,0.000063,769711108,2.693939
A4,4,48,8,0.000131,770501156,2.696704
FA,512,48,16,0.000063,771992738,2.693753
A4,4,48,16,0.000143,772901670,2.696925
FA,512,64,8,0.000067,769833792,2.694358
A4,4,64,8,0.000154,770861014,2.697953
FA,512,64,16,0.000066,772082386,2.694056
A4,4,64,16,0.000169,773264642,2.698181
FA,512,96,8,0.000072,770080192,2.695201
A4,4,96,8,0.000153,771017744,2.698483
FA,512,96,16,0.000072,772184012,2.694392
A4,4,96,16,0.000167,773381658,2.698570
FA,512,128,8,0.000077,770034876,2.695020
A4,4,128,8,0.000099,770206028,2.695619
FA,512,128,16,0.000076,772389274,2.695085
A4,4,128,16,0.000102,772725694,2.696259
FA,512,192,8,0.000088,770124154,2.695295
A4,4,192,8,0.000176,771222652,2.699140
FA,512,192,16,0.000087,772556302,2.695631
A4,4,192,16,0.000194,773886744,2.700273
FA,512,256,8,0.000098,770264660,2.695748
A4,4,256,8,0.000183,771332576,2.699486
FA,512,256,16,0.000098,772712712,2.696138
A4,4,256,16,0.000199,774056372,2.700826
